Tumor_Sample_Barcode	cnt	tmb
TCGA-02-0003-01A-01D-1490-08	9	0.272727272727273
TCGA-02-0033-01A-01D-1490-08	6	0.181818181818182
TCGA-02-0047-01A-01D-1490-08	17	0.515151515151515
TCGA-02-0055-01A-01D-1490-08	9	0.272727272727273
TCGA-02-2466-01A-01W-0837-08	24	0.727272727272727
TCGA-02-2470-01A-01D-1494-08	12	0.363636363636364
TCGA-02-2483-01A-01D-1494-08	14	0.424242424242424
TCGA-02-2485-01A-01D-1494-08	7	0.212121212121212
TCGA-02-2486-01A-01D-1494-08	17	0.515151515151515
TCGA-04-1331-01A-01W-0486-08	39	1.18181818181818
TCGA-04-1335-01A-01W-0488-09	3	0.0909090909090909
TCGA-04-1336-01A-01W-0486-08	29	0.878787878787879
TCGA-04-1341-01A-01W-0486-08	10	0.303030303030303
TCGA-04-1342-01A-01W-0486-08	53	1.60606060606061
TCGA-04-1343-01A-01W-0486-08	22	0.666666666666667
TCGA-04-1346-01A-01W-0486-08	19	0.575757575757576
TCGA-04-1348-01A-01W-0492-08	14	0.424242424242424
TCGA-04-1349-01A-01W-0492-08	11	0.333333333333333
TCGA-04-1353-01A-01D-1526-09	5	0.151515151515152
TCGA-04-1356-01A-01W-0492-08	33	1
TCGA-04-1357-01A-01W-0492-08	28	0.848484848484849
TCGA-04-1360-01A-01W-0492-08	37	1.12121212121212
TCGA-04-1361-01A-01W-0492-08	25	0.757575757575758
TCGA-04-1362-01A-01W-0492-08	27	0.818181818181818
TCGA-04-1367-01A-01W-0492-08	39	1.18181818181818
TCGA-04-1369-01A-02D-1526-09	24	0.727272727272727
TCGA-04-1516-01A-01D-1526-09	18	0.545454545454545
TCGA-04-1542-01A-01W-0553-09	13	0.393939393939394
TCGA-04-1638-01A-01W-0639-09	18	0.545454545454545
TCGA-04-1644-01B-01D-1526-09	6	0.181818181818182
TCGA-04-1646-01A-01W-0639-09	4	0.121212121212121
TCGA-04-1648-01A-01W-0639-09	15	0.454545454545455
TCGA-04-1649-01A-01W-0639-09	22	0.666666666666667
TCGA-04-1651-01A-01W-0639-09	22	0.666666666666667
TCGA-04-1652-01A-01W-0639-09	18	0.545454545454545
TCGA-04-1655-01A-01W-0633-09	18	0.545454545454545
TCGA-05-4244-01A-01D-1105-08	67	2.03030303030303
TCGA-05-4249-01A-01D-1105-08	108	3.27272727272727
TCGA-05-4250-01A-01D-1105-08	90	2.72727272727273
TCGA-05-4382-01A-01D-1931-08	492	14.9090909090909
TCGA-05-4384-01A-01D-1753-08	35	1.06060606060606
TCGA-05-4389-01A-01D-1265-08	65	1.96969696969697
TCGA-05-4390-01A-02D-1753-08	156	4.72727272727273
TCGA-05-4395-01A-01D-1265-08	67	2.03030303030303
TCGA-05-4396-01A-21D-1855-08	353	10.6969696969697
TCGA-05-4397-01A-01D-1265-08	222	6.72727272727273
TCGA-05-4398-01A-01D-1265-08	188	5.6969696969697
TCGA-05-4402-01A-01D-1265-08	36	1.09090909090909
TCGA-05-4403-01A-01D-1265-08	37	1.12121212121212
TCGA-05-4405-01A-21D-1855-08	100	3.03030303030303
TCGA-05-4410-01A-21D-1855-08	294	8.90909090909091
TCGA-05-4415-01A-22D-1855-08	52	1.57575757575758
TCGA-05-4417-01A-22D-1855-08	77	2.33333333333333
TCGA-05-4418-01A-01D-1265-08	75	2.27272727272727
TCGA-05-4420-01A-01D-1265-08	88	2.66666666666667
TCGA-05-4422-01A-01D-1265-08	16	0.484848484848485
TCGA-05-4424-01A-22D-1855-08	214	6.48484848484848
TCGA-05-4425-01A-01D-1753-08	5	0.151515151515152
TCGA-05-4426-01A-01D-1265-08	7	0.212121212121212
TCGA-05-4427-01A-21D-1855-08	295	8.93939393939394
TCGA-05-4430-01A-02D-1265-08	74	2.24242424242424
TCGA-05-4432-01A-01D-1265-08	154	4.66666666666667
TCGA-05-4433-01A-22D-1855-08	13	0.393939393939394
TCGA-05-4434-01A-01D-1265-08	13	0.393939393939394
TCGA-05-5420-01A-01D-1625-08	20	0.606060606060606
TCGA-05-5423-01A-01D-1625-08	37	1.12121212121212
TCGA-05-5425-01A-02D-1625-08	145	4.39393939393939
TCGA-05-5428-01A-01D-1625-08	84	2.54545454545455
TCGA-05-5429-01A-01D-1625-08	6	0.181818181818182
TCGA-05-5715-01A-01D-1625-08	26	0.787878787878788
TCGA-06-0119-01A-08D-1490-08	27	0.818181818181818
TCGA-06-0122-01A-01D-1490-08	14	0.424242424242424
TCGA-06-0124-01A-01D-1490-08	15	0.454545454545455
TCGA-06-0125-01A-01D-1490-08	2	0.0606060606060606
TCGA-06-0125-02A-11D-2280-08	10	0.303030303030303
TCGA-06-0126-01A-01D-1490-08	17	0.515151515151515
TCGA-06-0128-01A-01D-1490-08	13	0.393939393939394
TCGA-06-0129-01A-01D-1490-08	14	0.424242424242424
TCGA-06-0130-01A-01D-1490-08	5	0.151515151515152
TCGA-06-0132-01A-02D-1491-08	6	0.181818181818182
TCGA-06-0137-01A-01D-1490-08	14	0.424242424242424
